subscription_id,account_id,source_opportunity_id,product_name,arr,currency,term_start_date,term_end_date,billing_frequency,status,replaced_by_subscription_id
S20001,A1043,O12118,Advanced Analytics,10000.0,EUR,2024-01-16,2025-01-16,Annual,Churned,
S20002,A1291,O12337,Core Platform,2854.41,USD,2024-01-22,2025-01-22,Annual,Expired,
S20003,A1291,O12337,Advanced Analytics,806.54,USD,2024-01-22,2026-01-22,Quarterly,Expired,
S20004,A1136,O12318,Core Platform,2562.0,USD,2024-02-02,2026-02-02,Annual,Expired,
S20005,A1224,O10766,Managed Training,2966.45,USD,2024-02-02,2025-02-02,Annual,Expired,
S20006,A1224,O10766,API Access,2254.19,USD,2024-02-02,2025-02-02,Annual,Expired,
S20007,A1067,O10371,Advanced Analytics,28406.89,USD,2024-02-14,2025-02-14,Annual,Expired,
S20008,A1067,O10371,API Access,28321.58,USD,2024-02-14,2025-02-14,Quarterly,Expired,
S20009,A1022,O11813,Managed Training,12935.7,EUR,2024-02-22,2025-02-22,Annual,Expired,
S20010,A1022,O11813,Advanced Analytics,25803.71,EUR,2024-02-22,2025-02-22,Annual,Expired,
S20011,A1349,O11768,Advanced Analytics,12050.0,USD,2024-02-26,2026-02-26,Annual,Expired,
S20012,A1232,O10675,Managed Training,64008.0,USD,2024-02-26,2025-02-26,Annual,Expired,
S20013,A1251,O11235,Managed Training,19552.37,GBP,2024-02-28,2025-02-28,Annual,Expired,
S20014,A1251,O11235,Advanced Analytics,14797.58,GBP,2024-02-28,2025-02-28,Annual,Expired,
S20015,A1039,O12334,API Access,8213.03,USD,2024-03-04,2025-03-04,Monthly,Churned,
S20016,A1039,O12334,Advanced Analytics,12373.05,USD,2024-03-04,2025-03-04,Annual,Expired,
S20017,A1225,O12504,Managed Training,3738.0,USD,2024-03-04,2025-03-04,Annual,Expired,
S20018,A1354,O10870,Advanced Analytics,10626.0,SGD,2024-04-04,2025-04-04,Annual,Expired,
S20019,A1363,O12186,Advanced Analytics,7994.0,EUR,2024-04-07,2027-04-07,Monthly,Active,
S20020,A1354,O10364,Managed Training,8747.75,SGD,2024-04-10,2025-04-10,Annual,Expired,
S20021,A1354,O10364,Core Platform,4984.12,SGD,2024-04-10,2025-04-10,Annual,Churned,
S20022,A1386,O10953,Core Platform,7130.56,GBP,2024-04-12,2026-04-12,Monthly,Expired,
S20023,A1386,O10953,Advanced Analytics,17028.94,GBP,2024-04-12,2025-04-12,Monthly,Churned,
S20024,A1330,O12567,API Access,36666.0,USD,2024-04-13,2025-04-13,Annual,Expired,
S20025,A1336,O11996,API Access,4088.85,SGD,2024-04-14,2025-04-14,Annual,Expired,
S20026,A1336,O11996,Managed Training,4223.27,SGD,2024-04-14,2025-04-14,Quarterly,Expired,
S20027,A1326,O10519,API Access,89334.0,USD,2024-04-15,2025-04-15,Annual,Expired,
S20028,A1372,O11676,Core Platform,39231.97,USD,2024-04-16,2025-04-16,Annual,Expired,
S20029,A1372,O11676,Managed Training,59690.43,USD,2024-04-16,2025-04-16,Quarterly,Expired,
S20030,A1354,O11524,API Access,3234.0,SGD,2024-04-19,2025-04-19,Annual,Expired,
S20031,A1333,O12230,Managed Training,9055.43,USD,2024-04-21,2025-04-21,Annual,Expired,
S20032,A1333,O12230,Core Platform,4752.28,USD,2024-04-21,2026-04-21,Quarterly,Expired,
S20033,A1187,O11760,Advanced Analytics,3257.25,USD,2024-04-21,2026-04-21,Annual,Expired,
S20034,A1187,O11760,API Access,2347.28,USD,2024-04-21,2027-04-21,Annual,Active,
S20035,A1363,O11531,API Access,24906.0,EUR,2024-04-21,2025-04-21,Annual,Expired,
S20036,A1151,O12571,Managed Training,17274.91,SGD,2024-04-24,2025-04-24,Annual,Expired,
S20037,A1151,O12571,Advanced Analytics,13155.43,SGD,2024-04-24,2025-04-24,Annual,Expired,
S20038,A1040,O11812,Managed Training,33138.0,USD,2024-04-27,2025-04-27,Annual,Expired,
