account_id,account_name,domain,region,segment,industry,owner_user_id,created_at,is_deleted,parent_account_id,billing_currency
A1401,Eastgate Partners Inc,eastgatepartners.example.com,EMEA,SMB,Payments,U223,2025-10-14 00:00:00,False,,BRL
A1055,Granite Securities Ltd,granitesecurities.example.com,LATAM,Mid-Market,Government,U208,2024-09-28 00:00:00,False,,BRL
A1021,Pinnacle Trust SA,pinnacletrust.example.com,,SMB,Fintech,U209,2025-09-12 00:00:00,False,,BRL
A1317,Norsk Bancorp PLC,norskbancorp.example.com,LATAM,Public Sector,Payments,U206,2024-07-16 00:00:00,False,,SGD
A1096,Dovetail Networks SA,dovetailnetworks.example.com,,Mid-Market,Consulting,U212,2025-09-10 00:00:00,False,,USD
A1202,Inlet Exchange Co,inletexchange.example.com,EMEA,Public Sector,Insurance,U201,2023-10-11 00:00:00,False,,USD
A1004,Inlet Securities Inc,inletsecurities.example.com,,Mid-Market,Consulting,U217,2024-12-26 00:00:00,False,,BRL
A1063,Vertex Capital Co,vertexcapital.example.com,APAC,Mid-Market,Financial Services,U217,2025-08-02 00:00:00,False,,BRL
A1365,Vertex Capital Inc,vertexcapital.example.com,APAC,SMB,Fintech,U207,2025-08-16 00:00:00,False,,GBP
A9014,Sable Advisors SA,sableadvisors.example.com,AMER,Public Sector,Financial Services,U213,2024-08-03 00:00:00,True,,USD
A1251,Juniper Group Co,junipergroup.example.com,EMEA,SMB,Fintech,U218,2025-10-28 00:00:00,False,,GBP
A1184,Northwind Securities PLC,northwindsecurities.example.com,EMEA,Enterprise,Crypto Native,U208,2023-09-06 00:00:00,False,,USD
A1235,Bluewater Systems LLC,bluewatersystems.example.com,LATAM,SMB,Fintech,U215,2023-12-22 00:00:00,False,,BRL
A1059,Halcyon Analytics Ltd,halcyonanalytics.example.com,,Enterprise,Insurance,U211,2023-10-11 00:00:00,False,,USD
A1179,Thorne Partners SA,thornepartners.example.com,EMEA,Enterprise,Government,U204,2025-01-01 00:00:00,False,,USD
A1194,Riverbend Holdings Ltd,riverbendholdings.example.com,AMER,Mid-Market,Fintech,U217,2026-04-20 00:00:00,False,,USD
A1299,Norsk Partners SA,norskpartners.example.com,AMER,Mid-Market,Financial Services,U216,2024-06-28 00:00:00,False,,EUR
A1386,Cobalt Digital Pte Ltd,cobaltdigital.example.com,APAC,SMB,Fintech,U216,2026-01-04 00:00:00,False,,GBP
A1088,Lattice Labs Pte Ltd,latticelabs.example.com,AMER,Mid-Market,Government,U223,2026-03-17 00:00:00,False,,EUR
A1069,Lattice Networks LLC,latticenetworks.example.com,AMER,Mid-Market,Insurance,U219,2025-07-25 00:00:00,False,,USD
A1101,Riverbend Analytics GmbH,riverbendanalytics.example.com,EMEA,Enterprise,Government,U205,2025-02-15 00:00:00,False,,GBP
A9007,Sable Labs Inc,sablelabs.example.com,LATAM,Mid-Market,Financial Services,U217,2023-04-26 00:00:00,True,,BRL
