opportunity_id,account_id,opportunity_name,owner_user_id,opportunity_type,amount,currency,created_date,close_date,stage_name,is_closed,is_won,forecast_category,lead_source
O12517,A1388,Cobalt Financial Pte Ltd - New Business,U216,New Business,124200.0,EUR,2024-02-24,2024-09-16,6-Closed Lost,True,False,Closed,Inbound
O12191,A1175,Orbit Advisors GmbH - New Business,U206,New Business,15700.0,USD,2024-10-17,2024-11-13,6-Closed Lost,True,False,Closed,Inbound
O10621,A1028,Thorne Trust PLC - Expansion,U205,Expansion,102018.0,USD,2024-06-25,2024-10-04,5-Closed Won,True,True,Closed,Event
O99000,A1221,Tessera Networks Inc - Expansion,U223,Expansion,104790.0,GBP,2024-08-28,2024-11-03,5-Closed Won,True,True,Closed,Outbound
O11930,A1127,Palisade Partners PLC - New Business,U223,New Business,267500.0,EUR,2025-08-16,2025-12-27,6-Closed Lost,True,False,Closed,Inbound
O11323,A1414,Redmond Systems SA - Expansion,U208,Expansion,22092.0,USD,2025-08-09,2025-12-25,6-Closed Lost,True,False,Closed,Event
O10520,A1059,Halcyon Analytics Ltd - Expansion,U217,Expansion,205548.0,USD,2025-10-17,2026-03-24,5-Closed Won,True,True,Closed,Event
O12154,A1139,Granite Holdings SA - New Business,U214,New Business,71800.0,EUR,2026-04-26,2026-06-12,6-Closed Lost,True,False,Closed,Event
O12217,A1125,Sable Group SA - New Business,U213,New Business,79400.0,USD,2026-01-16,2026-04-24,6-Closed Lost,True,False,Closed,Referral
O11539,A1310,Dovetail Ventures Inc - Expansion,U208,Expansion,22134.0,USD,2025-03-14,2025-05-27,6-Closed Lost,True,False,Closed,Outbound
O11727,A1040,Lattice Holdings Pte Ltd - Renewal,U219,Renewal,55700.0,USD,2025-05-11,2025-05-20,5-Closed Won,True,True,Closed,Inbound
O10315,A1113,Riverbend Trust LLC - Expansion,U214,Expansion,55566.0,SGD,2024-10-02,2024-12-18,6-Closed Lost,True,False,Closed,Event
O10990,A1273,Fairlane Financial PLC - New Business,U200,New Business,34100.0,USD,2025-02-24,2025-05-21,6-Closed Lost,True,False,Closed,Inbound
O11431,A1389,Inlet Partners Inc - Expansion,U218,Expansion,20202.0,USD,2026-04-20,2026-07-17,2-Qualified,False,False,Commit,Outbound
O11231,A1145,Harrow Labs Pte Ltd - New Business,U211,New Business,15600.0,USD,2024-01-01,2024-02-11,6-Closed Lost,True,False,Closed,Partner
O12271,A1170,Fairlane Analytics Co - Renewal,U220,Renewal,77600.0,USD,2024-03-19,2024-08-20,5-Closed Won,True,True,Closed,Inbound
O10394,A1084,Eastgate Financial GmbH - New Business,U206,New Business,21200.0,USD,2025-02-17,2025-03-17,6-Closed Lost,True,False,Closed,Inbound
O12233,A1401,Eastgate Partners Inc - New Business,U209,New Business,8200.0,BRL,2025-01-15,2025-04-14,5-Closed Won,True,True,Closed,Inbound
O12471,A1327,Palisade Ventures LLC - Expansion,U209,Expansion,3360.0,USD,2026-02-13,2026-04-11,6-Closed Lost,True,False,Closed,Inbound
O10823,A1292,Inlet Group GmbH - New Business,U205,New Business,170000.0,GBP,2024-01-12,2024-06-23,6-Closed Lost,True,False,Closed,Inbound
O11240,A1339,Northwind Payments LLC - New Business,U217,New Business,6200.0,GBP,2025-11-08,2026-01-11,5-Closed Won,True,True,Closed,Outbound
O10529,A1207,Keystone Capital PLC - Renewal,U202,Renewal,18600.0,USD,2024-03-19,2024-03-28,5-Closed Won,True,True,Closed,Referral
O10176,A1128,Quarry Labs GmbH - Renewal,U208,Renewal,389500.0,USD,2024-11-17,2025-03-09,5-Closed Won,True,True,Closed,Outbound
O12580,A1387,Halcyon Securities PLC - Renewal,U216,Renewal,51000.0,USD,2026-06-13,2026-08-02,1-Discovery,False,False,Commit,Outbound
O10921,A1378,Fairlane Bancorp LLC - Renewal,U215,Renewal,123800.0,USD,2026-03-27,2026-09-11,3-Proposal,False,False,Best Case,Event
O99001,A1111,Inlet Securities GmbH - Expansion,U217,Expansion,47712.0,EUR,2026-06-03,2026-09-22,1-Discovery,False,False,Pipeline,Outbound
O10935,A1164,Lumen Securities GmbH - Expansion,U211,Expansion,16548.0,USD,2024-06-13,2024-07-20,6-Closed Lost,True,False,Closed,Outbound
O10614,A1359,Thorne Analytics PLC - Expansion,U208,Expansion,9240.0,EUR,2025-03-13,2025-03-23,5-Closed Won,True,True,Closed,Inbound
O10324,A1417,Lumen Holdings Ltd - New Business,U208,New Business,469900.0,USD,2024-10-25,2025-03-09,5-Closed Won,True,True,Closed,Inbound
O11106,A1283,Caldera Securities PLC - New Business,U202,New Business,18000.0,USD,2026-05-17,2026-05-26,6-Closed Lost,True,False,Closed,Partner
O10435,A1294,Sable Payments SA - Expansion,U208,Expansion,10122.0,EUR,2024-10-19,2024-12-24,6-Closed Lost,True,False,Closed,Inbound
O10227,A1125,Sable Group SA - Renewal,U213,Renewal,78200.0,USD,2024-09-24,2025-01-03,5-Closed Won,True,True,Closed,Inbound
O10876,A1412,Riverbend Payments GmbH - Renewal,U214,Renewal,34700.0,EUR,2025-07-13,2025-09-24,5-Closed Won,True,True,Closed,Outbound
O10709,A1359,Thorne Analytics PLC - Renewal,U208,Renewal,14000.0,EUR,2024-11-07,2024-11-16,5-Closed Won,True,True,Closed,Referral
O11167,A1201,Westford Financial Co - New Business,U220,New Business,27500.0,EUR,2025-12-16,2026-02-25,6-Closed Lost,True,False,Closed,Partner
O99004,A1349,Norsk Securities Inc - New Business,U206,New Business,12300.0,USD,2026-04-12,2026-06-29,6-Closed Lost,True,False,Closed,Outbound
O11631,A1339,Northwind Payments LLC - Renewal,U217,Renewal,7400.0,GBP,2025-11-11,2025-12-22,5-Closed Won,True,True,Closed,Partner
O12332,A1239,Vertex Trust Pte Ltd - Renewal,U207,Renewal,476400.0,USD,2024-04-24,2024-09-24,5-Closed Won,True,True,Closed,Event
O12248,A1400,Stanhope Networks Ltd - Expansion,U201,Expansion,130032.0,USD,2024-09-30,2024-12-20,5-Closed Won,True,True,Closed,Event
O11732,A1039,Norsk Partners Co - New Business,U207,New Business,45000.0,USD,2025-10-05,2025-10-14,6-Closed Lost,True,False,Closed,Outbound
O11805,A1297,Redmond Labs GmbH - Renewal,U218,Renewal,88800.0,USD,2024-05-10,2025-02-08,6-Closed Lost,True,False,Closed,Event
O12570,A1169,Norsk Systems Ltd - New Business,U208,New Business,141100.0,USD,2025-03-13,2025-02-03,6-Closed Lost,True,False,Closed,Inbound
O11747,A1221,Tessera Networks Inc - Expansion,U223,Expansion,77154.0,GBP,2024-03-18,2024-08-27,5-Closed Won,True,True,Closed,Outbound
O11903,A1298,Inlet Systems GmbH - New Business,U219,New Business,150200.0,BRL,2025-03-25,2025-07-27,6-Closed Lost,True,False,Closed,Partner
O11702,A1231,Meridian Networks Co - New Business,U210,New Business,145200.0,BRL,2024-10-02,2025-02-03,6-Closed Lost,True,False,Closed,Outbound
O12124,A1145,Harrow Labs Pte Ltd - Expansion,U211,Expansion,7644.0,USD,2026-05-07,2026-07-18,1-Discovery,False,False,Pipeline,Outbound
O12539,A1264,Lattice Labs Co - Expansion,U220,Expansion,43554.0,EUR,2024-02-26,2024-05-10,5-Closed Won,True,True,Closed,Outbound
O10446,A1038,Dovetail Digital LLC - Expansion,U209,Expansion,13524.0,USD,2025-05-24,2025-07-02,6-Closed Lost,True,False,Closed,Outbound
O11726,A1263,Halcyon Partners SA - New Business,U219,New Business,210600.0,USD,2024-07-18,2024-10-27,5-Closed Won,True,True,Closed,Inbound
O98001,A9001,Norsk Advisors Co - New Business,U206,New Business,67400.0,USD,2025-04-29,2025-08-27,6-Closed Lost,True,False,Closed,Outbound
O10065,A1253,Ironclad Securities PLC - New Business,U216,New Business,68900.0,BRL,2024-09-04,2024-11-27,6-Closed Lost,True,False,Closed,Inbound
O10072,A1109,Meridian Exchange Inc - Renewal,U215,Renewal,53500.0,EUR,2026-01-19,2026-03-16,5-Closed Won,True,True,Closed,Inbound
O10157,A1364,Lumen Group Pte Ltd - Renewal,U202,Renewal,99900.0,EUR,2025-07-06,2025-10-17,6-Closed Lost,True,False,Closed,Partner
O11843,A1326,Beltway Payments Inc - Renewal,U207,Renewal,384800.0,USD,2026-05-09,2026-09-29,3-Proposal,False,False,Pipeline,Outbound
O11391,A1131,Norsk Holdings GmbH - Renewal,U207,Renewal,133200.0,USD,2024-08-29,2025-01-11,5-Closed Won,True,True,Closed,Referral
O10406,A1308,Caldera Partners Ltd - Renewal,U215,Renewal,174600.0,BRL,2025-09-28,2025-12-18,5-Closed Won,True,True,Closed,Outbound
O10805,A1052,Norsk Advisors Co - New Business,U206,New Business,133600.0,USD,2025-07-19,2025-09-24,6-Closed Lost,True,False,Closed,Event
O12056,A1009,Harrow Advisors SA - Renewal,U213,Renewal,166400.0,USD,2024-08-21,2025-01-06,6-Closed Lost,True,False,Closed,Outbound
O10022,A1235,Bluewater Systems LLC - Renewal,U215,Renewal,17600.0,BRL,2024-07-03,2024-07-22,5-Closed Won,True,True,Closed,Outbound
O11535,A1343,Fairlane Group Pte Ltd - New Business,U201,New Business,65100.0,USD,2026-03-31,2026-07-03,2-Qualified,False,False,Pipeline,Inbound
O10697,A1416,Umbra Bancorp GmbH - Expansion,U203,Expansion,20034.0,SGD,2026-04-25,2026-07-08,1-Discovery,False,False,Commit,Inbound
O12350,A1090,Inlet Analytics Inc - Renewal,U207,Renewal,27800.0,USD,2026-01-09,2026-01-18,5-Closed Won,True,True,Closed,Inbound
O11951,A1172,Marrow Networks Pte Ltd - New Business,U221,New Business,59900.0,SGD,2024-08-19,2024-09-09,6-Closed Lost,True,False,Closed,Referral
O11169,A1271,Zenith Trust SA - New Business,U220,New Business,94300.0,USD,2025-09-21,2025-12-12,6-Closed Lost,True,False,Closed,Inbound
O12496,A1164,Lumen Securities GmbH - Expansion,U211,Expansion,17346.0,USD,2025-11-22,2026-01-12,6-Closed Lost,True,False,Closed,Inbound
O11338,A1199,Keystone Partners SA - Expansion,U207,Expansion,15372.0,BRL,2025-07-19,2025-09-19,6-Closed Lost,True,False,Closed,Inbound
O98028,A9003,Quarry Labs Co - New Business,U210,New Business,16300.0,GBP,2026-04-27,2026-05-06,5-Closed Won,True,True,Closed,Outbound
O10866,A1231,Meridian Networks Co - Renewal,U210,Renewal,105900.0,BRL,2024-04-20,2024-09-08,5-Closed Won,True,True,Closed,Outbound
O11305,A1077,Meridian Custody SA - New Business,U203,New Business,115600.0,USD,2024-12-04,2025-02-17,6-Closed Lost,True,False,Closed,Outbound
O12296,A1107,Keystone Bancorp Ltd - New Business,U222,New Business,112600.0,USD,2025-07-09,2025-08-17,6-Closed Lost,True,False,Closed,Outbound
O10374,A1327,Palisade Ventures LLC - New Business,U209,New Business,13900.0,USD,2026-06-04,2026-06-13,5-Closed Won,True,True,Closed,Outbound
O11121,A1081,Zenith Digital Ltd - New Business,U205,New Business,46500.0,USD,2025-08-16,2025-12-29,6-Closed Lost,True,False,Closed,Inbound
