history_id,opportunity_id,from_stage,to_stage,changed_at,changed_by_user_id
H000001,O10000,,2-Qualified,2025-09-07 00:00:00,U207
H000002,O10000,2-Qualified,3-Proposal,2025-09-09 00:00:00,U207
H000003,O10000,3-Proposal,4-Negotiation,2025-09-11 00:00:00,U207
H000004,O10000,4-Negotiation,5-Closed Won,2025-09-13 00:00:00,U207
H000005,O10001,,2-Qualified,2024-10-08 00:00:00,U205
H000006,O10001,2-Qualified,3-Proposal,2024-10-28 00:00:00,U205
H000007,O10001,3-Proposal,6-Closed Lost,2024-11-22 00:00:00,U205
H000008,O10002,,2-Qualified,2025-04-18 00:00:00,U200
H000009,O10002,2-Qualified,3-Proposal,2025-05-22 00:00:00,U200
H000010,O10002,3-Proposal,4-Negotiation,2025-07-04 00:00:00,U200
H000011,O10002,4-Negotiation,5-Closed Won,2025-07-26 00:00:00,U200
H000012,O10003,,2-Qualified,2025-08-23 00:00:00,U217
H000013,O10003,2-Qualified,6-Closed Lost,2025-09-19 00:00:00,U217
H000014,O10004,,2-Qualified,2026-03-28 00:00:00,U217
H000015,O10004,2-Qualified,3-Proposal,2026-04-24 00:00:00,U217
H000016,O10004,3-Proposal,4-Negotiation,2026-05-24 00:00:00,U217
H000017,O10004,4-Negotiation,5-Closed Won,2026-05-30 00:00:00,U217
H000018,O10005,,2-Qualified,2025-01-21 00:00:00,U220
H000019,O10005,2-Qualified,3-Proposal,2025-01-30 00:00:00,U220
H000020,O10005,3-Proposal,4-Negotiation,2025-02-09 00:00:00,U220
H000021,O10005,4-Negotiation,5-Closed Won,2025-02-15 00:00:00,U220
H000022,O10006,,2-Qualified,2026-03-12 00:00:00,U217
H000023,O10006,2-Qualified,3-Proposal,2026-04-15 00:00:00,U217
H000024,O10006,3-Proposal,6-Closed Lost,2026-05-28 00:00:00,U217
H000025,O10007,,2-Qualified,2025-03-05 00:00:00,U209
H000026,O10007,2-Qualified,6-Closed Lost,2025-05-26 00:00:00,U209
H000027,O10008,,2-Qualified,2025-08-16 00:00:00,U211
H000028,O10008,2-Qualified,3-Proposal,2025-09-27 00:00:00,U211
H000029,O10008,3-Proposal,4-Negotiation,2025-10-29 00:00:00,U211
H000030,O10008,4-Negotiation,5-Closed Won,2025-12-17 00:00:00,U211
H000031,O10009,,2-Qualified,2025-04-15 00:00:00,U204
H000032,O10009,2-Qualified,3-Proposal,2025-05-12 00:00:00,U204
H000033,O10009,3-Proposal,4-Negotiation,2025-05-28 00:00:00,U204
H000034,O10009,4-Negotiation,5-Closed Won,2025-06-20 00:00:00,U204
H000035,O10010,,2-Qualified,2024-09-17 00:00:00,U210
H000036,O10010,2-Qualified,3-Proposal,2024-10-15 00:00:00,U210
H000037,O10010,3-Proposal,4-Negotiation,2024-11-12 00:00:00,U210
H000038,O10010,4-Negotiation,5-Closed Won,2024-11-28 00:00:00,U210
H000039,O10011,,2-Qualified,2024-11-30 00:00:00,U220
H000040,O10011,2-Qualified,3-Proposal,2024-12-22 00:00:00,U220
H000041,O10011,3-Proposal,6-Closed Lost,2024-12-29 00:00:00,U220
H000042,O10012,,2-Qualified,2026-01-21 00:00:00,U213
H000043,O10012,2-Qualified,3-Proposal,2026-01-25 00:00:00,U213
H000044,O10012,3-Proposal,4-Negotiation,2026-02-01 00:00:00,U213
H000045,O10012,4-Negotiation,5-Closed Won,2026-02-10 00:00:00,U213
H000046,O10013,,2-Qualified,2026-05-12 00:00:00,U212
H000047,O10013,2-Qualified,3-Proposal,2026-05-22 00:00:00,U212
H000048,O10013,3-Proposal,4-Negotiation,2026-06-06 00:00:00,U212
H000049,O10013,4-Negotiation,5-Closed Won,2026-06-24 00:00:00,U212
H000050,O10014,,2-Qualified,2025-05-20 00:00:00,U209
H000051,O10014,2-Qualified,3-Proposal,2025-06-08 00:00:00,U209
H000052,O10014,3-Proposal,4-Negotiation,2025-06-25 00:00:00,U209
H000053,O10014,4-Negotiation,6-Closed Lost,2025-07-04 00:00:00,U209
H000054,O10015,,2-Qualified,2024-05-09 00:00:00,U215
H000055,O10015,2-Qualified,3-Proposal,2024-05-17 00:00:00,U215
H000056,O10015,3-Proposal,4-Negotiation,2024-05-26 00:00:00,U215
H000057,O10015,4-Negotiation,5-Closed Won,2024-06-05 00:00:00,U215
H000058,O10016,,2-Qualified,2025-11-26 00:00:00,U206
H000059,O10016,2-Qualified,3-Proposal,2025-12-15 00:00:00,U206
H000060,O10016,3-Proposal,4-Negotiation,2025-12-31 00:00:00,U206
H000061,O10016,4-Negotiation,6-Closed Lost,2026-01-28 00:00:00,U206
H000062,O10017,,2-Qualified,2025-03-15 00:00:00,U220
H000063,O10017,2-Qualified,3-Proposal,2025-04-02 00:00:00,U220
H000064,O10017,3-Proposal,4-Negotiation,2025-04-17 00:00:00,U220
H000065,O10017,4-Negotiation,5-Closed Won,2025-04-30 00:00:00,U220
H000066,O10018,,2-Qualified,2024-04-28 00:00:00,U205
H000067,O10018,2-Qualified,3-Proposal,2024-05-12 00:00:00,U205
