account_id,account_name,domain,region,segment,industry,parent_account_id,parent_account_name,root_account_id,root_account_name,hierarchy_depth,arr_usd,next_contract_event_date,days_to_contract_event,jan_feb_monthly_events,apr_jun_monthly_events,usage_ratio_post_vs_pre,apr_jun_monthly_users,latest_health_month,health_score,renewal_risk,open_tickets,csm_user_id,targeted_reengagement_candidate
A1098,Inlet Custody SA,inletcustody.example.com,AMER,,Payments,,,A1098,Inlet Custody SA,0,704941.4099999999,2026-10-20,112,152.0,124.33333333333333,0.8179824561403508,5.0,2026-06-01,58.7,Medium,1,U302,0
A1099,Ardent Digital Ltd,ardentdigital.example.com,AMER,Public Sector,Government,,,A1099,Ardent Digital Ltd,0,668851.1564881,2026-11-03,126,504.0,459.0,0.9107142857142857,9.0,2026-06-01,56.1,Medium,1,U300,0
A1011,Umbra Partners PLC,umbrapartners.example.com,AMER,Enterprise,Fintech,,,A1011,Umbra Partners PLC,0,668742.2990819999,2026-12-02,155,209.0,197.66666666666666,0.945773524720893,8.0,2026-06-01,80.4,Low,1,U304,0
A1166,Kestrel Bancorp Inc,kestrelbancorp.example.com,AMER,Public Sector,Consulting,,,A1166,Kestrel Bancorp Inc,0,657114.1606036,2027-03-25,268,71.5,62.666666666666664,0.8764568764568764,4.0,2026-06-01,72.7,Low,2,U300,0
A1114,Zenith Ventures Inc,zenithventures.example.com,AMER,Enterprise,Crypto Native,,,A1114,Zenith Ventures Inc,0,614775.26,2027-04-04,278,153.5,165.66666666666666,1.0792616720955484,1.0,2026-06-01,77.3,Low,0,U305,0
A1111,Inlet Securities GmbH,inletsecurities.example.com,AMER,Enterprise,Crypto Native,,,A1111,Inlet Securities GmbH,0,536357.8804741,2026-07-01,1,41.0,47.0,1.146341463414634,6.0,2026-06-01,90.2,Low,2,U305,0
A1352,Ardent Group GmbH,ardentgroup.example.com,APAC,,Fintech,,,A1352,Ardent Group GmbH,0,527567.3801676,2026-10-28,120,193.0,235.33333333333334,1.2193436960276338,11.0,2026-06-01,35.7,High,3,U302,0
A1130,Stanhope Capital SA,stanhopecapital.example.com,EMEA,Public Sector,Fintech,,,A1130,Stanhope Capital SA,0,521712.59,2027-03-07,250,28.5,33.666666666666664,1.1812865497076022,4.0,2026-06-01,81.0,Low,1,U301,0
A1375,Redmond Ventures PLC,redmondventures.example.com,AMER,Enterprise,Insurance,,,A1375,Redmond Ventures PLC,0,489701.14781094994,2026-09-21,83,424.0,526.0,1.240566037735849,4.0,2026-05-01,92.5,Low,1,U304,0
A1119,Eastgate Ventures SA,eastgateventures.example.com,AMER,Enterprise,Crypto Native,,,A1119,Eastgate Ventures SA,0,478341.5,2027-03-12,255,79.5,92.33333333333333,1.1614255765199162,5.0,2026-06-01,73.6,Low,4,U302,0
