snapshot_date,account_id,arr_usd,active_subscription_lines
2025-06-30,A1000,26964.0,1
2025-06-30,A1009,561669.0,2
2025-06-30,A1010,102650.79939623001,2
2025-06-30,A1014,7047.77194777,3
2025-06-30,A1017,8868.9994,1
2025-06-30,A1019,10800.0,1
2025-06-30,A1022,36166.717335830006,3
2025-06-30,A1024,170577.27000000002,2
2025-06-30,A1026,15157.33,2
2025-06-30,A1027,11312.0,1
2025-06-30,A1028,348600.82999999996,4
2025-06-30,A1029,178910.677428,1
2025-06-30,A1031,265474.04409608,4
2025-06-30,A1032,105391.31,2
2025-06-30,A1033,77500.0,1
2025-06-30,A1035,155111.83,2
2025-06-30,A1037,57297.83,2
2025-06-30,A1038,25881.0,2
2025-06-30,A1039,12373.05,1
2025-06-30,A1040,121142.0,4
2025-06-30,A1041,15207.0,3
2025-06-30,A1043,9281.511,1
2025-06-30,A1044,10878.0,1
2025-06-30,A1046,24206.219999999998,2
2025-06-30,A1048,30592.18,2
2025-06-30,A1050,18048.403466210002,2
2025-06-30,A1051,68620.66,2
2025-06-30,A1052,101500.0,2
2025-06-30,A1053,7374.360000000001,2
2025-06-30,A1055,2965.117428,1
2025-06-30,A1057,153174.0,1
2025-06-30,A1060,74617.22,2
2025-06-30,A1062,26058.940000000002,2
2025-06-30,A1064,20300.0,1
2025-06-30,A1066,111976.64,3
2025-06-30,A1067,46005.46,3
2025-06-30,A1068,97636.38,2
2025-06-30,A1070,6482.0,1
2025-06-30,A1071,18291.0,1
2025-06-30,A1072,16361.055413459999,2
2025-06-30,A1074,51922.73107778,2
2025-06-30,A1077,87800.0,1
2025-06-30,A1078,23688.0,1
2025-06-30,A1080,174090.93,3
2025-06-30,A1081,13692.0,1
2025-06-30,A1084,35400.0,1
2025-06-30,A1087,188278.7,4
2025-06-30,A1088,44930.87691269,3
2025-06-30,A1089,3192.6583108600003,3
2025-06-30,A1090,2670.33,1
2025-06-30,A1097,9925.46,2
2025-06-30,A1098,494600.0,1
2025-06-30,A1099,423063.24452919007,2
2025-06-30,A1102,75101.06,2
2025-06-30,A1104,9192.439999999999,2
2025-06-30,A1108,12085.1,2
2025-06-30,A1111,366260.799408,1
2025-06-30,A1117,10296.39,2
2025-06-30,A1119,290444.0,2
2025-06-30,A1121,21462.0,1
2025-06-30,A1123,32980.35602399999,2
2025-06-30,A1124,240632.59999999998,4
2025-06-30,A1128,115364.83,4
2025-06-30,A1130,476123.72000000003,2
2025-06-30,A1131,147538.55,2
2025-06-30,A1133,32415.726917220003,3
2025-06-30,A1134,136647.57164979,3
2025-06-30,A1136,37600.0,4
2025-06-30,A1137,90066.67,1
2025-06-30,A1142,86289.0,1
2025-06-30,A1143,140070.0,1
2025-06-30,A1144,5698.85,2
2025-06-30,A1147,27178.74959039,4
2025-06-30,A1148,12088.67,2
2025-06-30,A1150,249205.58995369,2
2025-06-30,A1151,60382.06032278,3
2025-06-30,A1154,80877.63993744,3
2025-06-30,A1156,198627.36,2
2025-06-30,A1157,4068.6019108,2
2025-06-30,A1159,146600.0,1
2025-06-30,A1164,20803.329999999998,2
2025-06-30,A1166,400035.85363646,4
2025-06-30,A1169,160000.0,1
2025-06-30,A1170,197997.91,3
2025-06-30,A1174,45300.0,1
2025-06-30,A1175,6906.55,2
2025-06-30,A1178,25830.0,1
2025-06-30,A1179,143296.16999999998,2
2025-06-30,A1183,71267.4649981,2
2025-06-30,A1184,258768.3,3
2025-06-30,A1186,42543.11,2
2025-06-30,A1187,50204.53,3
2025-06-30,A1188,415403.56,2
2025-06-30,A1189,65300.0,1
2025-06-30,A1193,10133.983728160001,3
2025-06-30,A1195,384361.37,4
2025-06-30,A1196,583553.29454294,4
2025-06-30,A1198,60207.0,2
2025-06-30,A1200,15591.79685552,2
2025-06-30,A1201,6843.567444,1
2025-06-30,A1202,400181.45999999996,3
2025-06-30,A1204,18732.0,1
2025-06-30,A1206,258214.74,4
2025-06-30,A1207,11700.0,1
2025-06-30,A1208,43226.56,2
2025-06-30,A1209,69887.30183826,2
2025-06-30,A1210,12044.550083999999,1
2025-06-30,A1211,2085.73142124,4
2025-06-30,A1213,214756.72000000003,2
2025-06-30,A1217,6909.46,2
2025-06-30,A1219,78474.1,4
2025-06-30,A1221,356199.80837688,4
2025-06-30,A1222,49965.81818486001,2
2025-06-30,A1224,35123.64,4
2025-06-30,A1225,11004.0,1
2025-06-30,A1227,18850.0,1
2025-06-30,A1228,25159.449999999997,2
2025-06-30,A1229,74500.0,1
2025-06-30,A1231,64801.754388,1
2025-06-30,A1232,73609.2,1
2025-06-30,A1233,134961.88,4
2025-06-30,A1235,2594.6286,1
2025-06-30,A1236,39097.630000000005,3
2025-06-30,A1237,44117.926146829996,2
2025-06-30,A1238,6678.0,1
2025-06-30,A1240,12586.16,2
2025-06-30,A1244,15418.09,2
2025-06-30,A1245,31034.53676675,4
2025-06-30,A1246,138562.5433121,2
2025-06-30,A1248,65940.0,1
2025-06-30,A1251,65168.363794619996,4
2025-06-30,A1256,18595.92241226,2
2025-06-30,A1260,62800.0,1
2025-06-30,A1261,73233.28,2
2025-06-30,A1263,237994.56,2
2025-06-30,A1264,22554.19548348,1
2025-06-30,A1266,86444.25,2
2025-06-30,A1270,56543.58233373001,2
2025-06-30,A1271,174566.78,2
2025-06-30,A1273,26883.12,1
2025-06-30,A1274,137998.16556656,2
2025-06-30,A1276,14512.467471700002,2
2025-06-30,A1278,4024.428128,1
2025-06-30,A1279,25242.0,2
2025-06-30,A1282,24570.0,1
2025-06-30,A1283,7644.0,1
2025-06-30,A1286,305800.0,2
2025-06-30,A1289,14257.07461016,2
2025-06-30,A1291,3660.95,2
2025-06-30,A1293,27131.14225792,2
2025-06-30,A1295,3443.08,1
2025-06-30,A1296,249846.40000000002,2
2025-06-30,A1297,183354.0,2
2025-06-30,A1298,60391.73053080001,2
2025-06-30,A1302,24423.92493606,2
2025-06-30,A1303,105606.08,4
2025-06-30,A1306,587365.94,4
2025-06-30,A1307,487356.88,2
2025-06-30,A1308,10901.462800000001,1
2025-06-30,A1310,14448.0,1
2025-06-30,A1312,59469.734813999996,2
2025-06-30,A1314,95800.0,1
2025-06-30,A1315,420649.87,4
2025-06-30,A1316,14112.0,1
2025-06-30,A1319,223590.63,3
2025-06-30,A1320,39800.0,1
2025-06-30,A1322,4666.4400000000005,2
2025-06-30,A1323,28674.050412000004,2
2025-06-30,A1326,338633.13,3
2025-06-30,A1329,114030.0,1
2025-06-30,A1330,170500.0,1
2025-06-30,A1333,4752.28,1
2025-06-30,A1335,159700.0,1
2025-06-30,A1336,6723.849227250001,2
2025-06-30,A1337,132804.0,1
2025-06-30,A1343,231994.69,4
2025-06-30,A1344,55819.32,3
2025-06-30,A1346,39446.7,2
2025-06-30,A1349,60705.0,4
2025-06-30,A1353,248620.38799999998,1
2025-06-30,A1354,16108.648458000001,3
2025-06-30,A1355,6937.54,1
2025-06-30,A1356,34595.048,1
2025-06-30,A1357,28534.728096,1
