opportunity_id,account_id,opportunity_type,stage_asof,lead_source,amount_usd,p_win_next_92d,expected_bookings_usd
O10245,A1335,Expansion,4-Negotiation,Partner,122472.0,0.7202627633682344,88212.0211552344
O12009,A1368,New Business,3-Proposal,Outbound,339500.0,0.258177307194438,87651.1957925117
O11580,A1221,Expansion,1-Discovery,Inbound,169578.612,0.4162907302659764,70594.00422697066
O10412,A1179,New Business,1-Discovery,Outbound,411600.0,0.15828328319124166,65149.39936151507
O10741,A1184,Expansion,1-Discovery,Outbound,243306.0,0.2528833551648167,61528.03761173089
O12025,A1057,Expansion,3-Proposal,Event,114492.0,0.5149773346953568,58960.785003940786
O12274,A1179,Expansion,1-Discovery,Outbound,179592.0,0.3278240903549542,58874.584035026935
O10597,A1329,Expansion,1-Discovery,Referral,128520.0,0.416063149598795,53472.43598643713
O10028,A1362,New Business,3-Proposal,Outbound,219900.0,0.22919753310453403,50400.53752968703
O11740,A1297,Expansion,2-Qualified,Outbound,287784.0,0.16527675848430223,47564.00666364643
O10727,A1009,Expansion,1-Discovery,Inbound,93114.0,0.48992006628374357,45618.417051944496
O11781,A1188,New Business,1-Discovery,Inbound,409400.0,0.10936836210213897,44775.407444615696
O11299,A1050,New Business,2-Qualified,Inbound,190855.357,0.2246287983141926,42871.60949473623
O10999,A1263,New Business,1-Discovery,Inbound,280400.0,0.15110326159749493,42369.35455193758
O10881,A1165,New Business,1-Discovery,Referral,595100.0,0.0691937671157009,41177.2108105536
O10047,A1166,New Business,1-Discovery,Outbound,325564.0178,0.11510057634490028,37472.60608594137
O12266,A1137,Expansion,1-Discovery,Inbound,113106.0,0.32158931797675666,36373.68139907904
O11236,A1319,New Business,1-Discovery,Referral,269100.0,0.13058485922116478,35140.38561641544
O10732,A1325,New Business,1-Discovery,Outbound,332300.0,0.10498511274466839,34886.552965053306
O11006,A1188,New Business,1-Discovery,Outbound,258200.0,0.1337997685725679,34547.10024543703
O11333,A1332,Expansion,1-Discovery,Event,120162.0,0.28353198504021854,34069.77038640274
O10914,A1170,New Business,2-Qualified,Outbound,617400.0,0.0524997893980966,32413.36997438484
O10281,A1075,Expansion,1-Discovery,Outbound,78455.74758,0.39870814215247746,31280.94535880553
O11091,A1255,New Business,2-Qualified,Outbound,280600.0,0.1099393101467727,30848.97042718442
O12477,A1352,New Business,1-Discovery,Outbound,203135.8965,0.14529857201931293,29515.355687312946
O99014,A1404,New Business,1-Discovery,Outbound,139600.0,0.210697618543399,29413.3875486585
O10255,A1024,New Business,1-Discovery,Inbound,222200.0,0.11835758582676112,26299.05557070632
O10438,A1065,Expansion,1-Discovery,Referral,51814.86345,0.49552953346923684,25675.79511215071
O10105,A1338,New Business,1-Discovery,Outbound,240540.8425,0.10364134655232796,24929.97681753144
O11952,A1312,New Business,1-Discovery,Outbound,168322.25699999998,0.1460102194753904,24576.769687163065
O10715,A1367,New Business,1-Discovery,Inbound,258100.0,0.09327803760487628,24075.06150581857
O10707,A1161,Expansion,1-Discovery,Outbound,147250.76142,0.15862698634679048,23357.944521324844
